"Taxa","Sample","Relative_abundance","Tissue","Timepoint","BP"
"[Clostridium]_innocuum_group","CC-6",0.00123513,"Feces","osmotic_diarrhea","Yes"
"[Clostridium]_innocuum_group","CC-7",0.001250469,"Feces","48h","Yes"
"[Clostridium]_innocuum_group","CC-8",0.001389747,"Feces","48h","Yes"
"[Clostridium]_innocuum_group","CC-9",0.002520845,"Feces","48h","Yes"
"[Clostridium]_innocuum_group","CC-10",0.001737404,"Feces","60h","Yes"
"[Clostridium]_innocuum_group","CC-11",0.000862407,"Feces","60h","Yes"
"[Clostridium]_innocuum_group","CC-12",0.002094926,"Feces","60h","Yes"
"[Clostridium]_innocuum_group","CC-13",0.001993592,"Feces","recovery","Yes"
"[Clostridium]_innocuum_group","CC-14",0.001825586,"Feces","recovery","Yes"
"[Clostridium]_innocuum_group","CC-15",0.001405949,"Feces","recovery","Yes"
"[Clostridium]_innocuum_group","CC-16",0.006345544,"MLN","24h","Yes"
"[Clostridium]_innocuum_group","CC-17",0,"MLN","baseline","No"
"[Clostridium]_innocuum_group","CC-18",0,"Spleen","24h","Yes"
"[Clostridium]_innocuum_group","CC-19",0,"MLN","recovery","Yes"
"[Clostridium]_innocuum_group","CC-20",0,"Spleen","recovery","Yes"
"Enterococcus","CC-1",0,"Feces","baseline","No"
"Enterococcus","CC-2",0,"Feces","baseline","No"
"Enterococcus","CC-3",0,"Feces","baseline","No"
"Enterococcus","CC-4",0.000186986,"Feces","osmotic_diarrhea","Yes"
"Enterococcus","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Enterococcus","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Enterococcus","CC-7",0.000375141,"Feces","48h","Yes"
"Enterococcus","CC-8",0.000514721,"Feces","48h","Yes"
"Enterococcus","CC-9",0.000517097,"Feces","48h","Yes"
"Enterococcus","CC-10",8.27e-05,"Feces","60h","Yes"
"Enterococcus","CC-11",0.000627205,"Feces","60h","Yes"
"Enterococcus","CC-12",0,"Feces","60h","Yes"
"Enterococcus","CC-13",0.000498398,"Feces","recovery","Yes"
"Enterococcus","CC-14",0.000842578,"Feces","recovery","Yes"
"Enterococcus","CC-15",0.001035963,"Feces","recovery","Yes"
"Enterococcus","CC-16",0.003980387,"MLN","24h","Yes"
"Enterococcus","CC-17",6.58e-05,"MLN","baseline","No"
"Enterococcus","CC-18",0.000363086,"Spleen","24h","Yes"
"Enterococcus","CC-19",0.257412838,"MLN","recovery","Yes"
"Enterococcus","CC-20",0.999458105,"Spleen","recovery","Yes"
"Listeria","CC-1",0,"Feces","baseline","No"
"Listeria","CC-2",0.000246853,"Feces","baseline","No"
"Listeria","CC-3",0,"Feces","baseline","No"
"Listeria","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"Listeria","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Listeria","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Listeria","CC-7",0,"Feces","48h","Yes"
"Listeria","CC-8",0,"Feces","48h","Yes"
"Listeria","CC-9",0,"Feces","48h","Yes"
"Listeria","CC-10",0,"Feces","60h","Yes"
"Listeria","CC-11",0,"Feces","60h","Yes"
"Listeria","CC-12",0,"Feces","60h","Yes"
"Listeria","CC-13",0,"Feces","recovery","Yes"
"Listeria","CC-14",0,"Feces","recovery","Yes"
"Listeria","CC-15",0,"Feces","recovery","Yes"
"Listeria","CC-16",0,"MLN","24h","Yes"
"Listeria","CC-17",0,"MLN","baseline","No"
"Listeria","CC-18",0,"Spleen","24h","Yes"
"Listeria","CC-19",0,"MLN","recovery","Yes"
"Listeria","CC-20",0,"Spleen","recovery","Yes"
"Streptococcus","CC-1",0.035947478,"Feces","baseline","No"
"Streptococcus","CC-2",0.003044516,"Feces","baseline","No"
"Streptococcus","CC-3",0.001151036,"Feces","baseline","No"
"Streptococcus","CC-4",0.033470456,"Feces","osmotic_diarrhea","Yes"
"Streptococcus","CC-5",0.046431771,"Feces","osmotic_diarrhea","Yes"
"Streptococcus","CC-6",0.038484041,"Feces","osmotic_diarrhea","Yes"
"Streptococcus","CC-7",0.001250469,"Feces","48h","Yes"
"Streptococcus","CC-8",0.001698579,"Feces","48h","Yes"
"Streptococcus","CC-9",0.03962252,"Feces","48h","Yes"
"Streptococcus","CC-10",0.001323736,"Feces","60h","Yes"
"Streptococcus","CC-11",0.000156801,"Feces","60h","Yes"
"Streptococcus","CC-12",0.016890344,"Feces","60h","Yes"
"Streptococcus","CC-13",0.015663937,"Feces","recovery","Yes"
"Streptococcus","CC-14",0.000702149,"Feces","recovery","Yes"
"Streptococcus","CC-15",0.012061566,"Feces","recovery","Yes"
"Streptococcus","CC-16",0.239515431,"MLN","24h","Yes"
"Streptococcus","CC-17",0.203489138,"MLN","baseline","No"
"Streptococcus","CC-18",0.478003026,"Spleen","24h","Yes"
"Streptococcus","CC-19",0.416748126,"MLN","recovery","Yes"
"Streptococcus","CC-20",0,"Spleen","recovery","Yes"
"Christensenellaceae_R-7_group","CC-1",0,"Feces","baseline","No"
"Christensenellaceae_R-7_group","CC-2",0.00255081,"Feces","baseline","No"
"Christensenellaceae_R-7_group","CC-3",0.003986922,"Feces","baseline","No"
"Christensenellaceae_R-7_group","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"Christensenellaceae_R-7_group","CC-5",0.002687369,"Feces","osmotic_diarrhea","Yes"
"Christensenellaceae_R-7_group","CC-6",0.004940519,"Feces","osmotic_diarrhea","Yes"
"Christensenellaceae_R-7_group","CC-7",0,"Feces","48h","Yes"
"Christensenellaceae_R-7_group","CC-8",0,"Feces","48h","Yes"
"Christensenellaceae_R-7_group","CC-9",0,"Feces","48h","Yes"
"Christensenellaceae_R-7_group","CC-10",0,"Feces","60h","Yes"
"Christensenellaceae_R-7_group","CC-11",0,"Feces","60h","Yes"
"Christensenellaceae_R-7_group","CC-12",0,"Feces","60h","Yes"
"Christensenellaceae_R-7_group","CC-13",0,"Feces","recovery","Yes"
"Christensenellaceae_R-7_group","CC-14",0,"Feces","recovery","Yes"
"Christensenellaceae_R-7_group","CC-15",0,"Feces","recovery","Yes"
"Christensenellaceae_R-7_group","CC-16",0,"MLN","24h","Yes"
"Christensenellaceae_R-7_group","CC-17",0,"MLN","baseline","No"
"Christensenellaceae_R-7_group","CC-18",0,"Spleen","24h","Yes"
"Christensenellaceae_R-7_group","CC-19",0,"MLN","recovery","Yes"
"Christensenellaceae_R-7_group","CC-20",0,"Spleen","recovery","Yes"
"uncultured","CC-1",0.000287006,"Feces","baseline","No"
"uncultured","CC-2",0,"Feces","baseline","No"
"uncultured","CC-3",0,"Feces","baseline","No"
"uncultured","CC-4",0.000311643,"Feces","osmotic_diarrhea","Yes"
"uncultured","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"uncultured","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"uncultured","CC-7",0.000375141,"Feces","48h","Yes"
"uncultured","CC-8",0.000205888,"Feces","48h","Yes"
"uncultured","CC-9",0.000258548,"Feces","48h","Yes"
"uncultured","CC-10",0.000661868,"Feces","60h","Yes"
"uncultured","CC-11",0.000235202,"Feces","60h","Yes"
"uncultured","CC-12",0.000261866,"Feces","60h","Yes"
"uncultured","CC-13",0,"Feces","recovery","Yes"
"uncultured","CC-14",0,"Feces","recovery","Yes"
"uncultured","CC-15",0.000517981,"Feces","recovery","Yes"
"uncultured","CC-16",0,"MLN","24h","Yes"
"uncultured","CC-17",0,"MLN","baseline","No"
"uncultured","CC-18",0,"Spleen","24h","Yes"
"uncultured","CC-19",0,"MLN","recovery","Yes"
"uncultured","CC-20",0,"Spleen","recovery","Yes"
"Clostridium_sensu_stricto_1","CC-1",0.001219775,"Feces","baseline","No"
"Clostridium_sensu_stricto_1","CC-2",0,"Feces","baseline","No"
"Clostridium_sensu_stricto_1","CC-3",0.002719114,"Feces","baseline","No"
"Clostridium_sensu_stricto_1","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"Clostridium_sensu_stricto_1","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Clostridium_sensu_stricto_1","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Clostridium_sensu_stricto_1","CC-7",0.000500188,"Feces","48h","Yes"
"Clostridium_sensu_stricto_1","CC-8",0,"Feces","48h","Yes"
"Clostridium_sensu_stricto_1","CC-9",0,"Feces","48h","Yes"
"Clostridium_sensu_stricto_1","CC-10",0.000496401,"Feces","60h","Yes"
"Clostridium_sensu_stricto_1","CC-11",0,"Feces","60h","Yes"
"Clostridium_sensu_stricto_1","CC-12",0,"Feces","60h","Yes"
"Clostridium_sensu_stricto_1","CC-13",0.000783197,"Feces","recovery","Yes"
"Clostridium_sensu_stricto_1","CC-14",0,"Feces","recovery","Yes"
"Clostridium_sensu_stricto_1","CC-15",0,"Feces","recovery","Yes"
"Clostridium_sensu_stricto_1","CC-16",0,"MLN","24h","Yes"
"Clostridium_sensu_stricto_1","CC-17",0,"MLN","baseline","No"
"Clostridium_sensu_stricto_1","CC-18",0,"Spleen","24h","Yes"
"Clostridium_sensu_stricto_1","CC-19",0,"MLN","recovery","Yes"
"Clostridium_sensu_stricto_1","CC-20",0,"Spleen","recovery","Yes"
"unclassified Lachnospiraceae","CC-1",0.001076272,"Feces","baseline","No"
"unclassified Lachnospiraceae","CC-2",0.002139389,"Feces","baseline","No"
"unclassified Lachnospiraceae","CC-3",0.004303873,"Feces","baseline","No"
"unclassified Lachnospiraceae","CC-4",0.00442533,"Feces","osmotic_diarrhea","Yes"
"unclassified Lachnospiraceae","CC-5",0.00171693,"Feces","osmotic_diarrhea","Yes"
"unclassified Lachnospiraceae","CC-6",0.001300137,"Feces","osmotic_diarrhea","Yes"
"unclassified Lachnospiraceae","CC-7",0.001000375,"Feces","48h","Yes"
"unclassified Lachnospiraceae","CC-8",0.006691373,"Feces","48h","Yes"
"unclassified Lachnospiraceae","CC-9",0.005881973,"Feces","48h","Yes"
"unclassified Lachnospiraceae","CC-10",0.000744602,"Feces","60h","Yes"
"unclassified Lachnospiraceae","CC-11",0.006664053,"Feces","60h","Yes"
"unclassified Lachnospiraceae","CC-12",0.006284779,"Feces","60h","Yes"
"unclassified Lachnospiraceae","CC-13",0.003061588,"Feces","recovery","Yes"
"unclassified Lachnospiraceae","CC-14",0.004704395,"Feces","recovery","Yes"
"unclassified Lachnospiraceae","CC-15",0.003477875,"Feces","recovery","Yes"
"unclassified Lachnospiraceae","CC-16",0.005941736,"MLN","24h","Yes"
"unclassified Lachnospiraceae","CC-17",0,"MLN","baseline","No"
"unclassified Lachnospiraceae","CC-18",0.000181543,"Spleen","24h","Yes"
"unclassified Lachnospiraceae","CC-19",0,"MLN","recovery","Yes"
"unclassified Lachnospiraceae","CC-20",0,"Spleen","recovery","Yes"
"Agathobacter","CC-1",0.004233336,"Feces","baseline","No"
"Agathobacter","CC-2",0,"Feces","baseline","No"
"Agathobacter","CC-3",0.005621726,"Feces","baseline","No"
"Agathobacter","CC-4",0.007417103,"Feces","osmotic_diarrhea","Yes"
"Agathobacter","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Agathobacter","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Agathobacter","CC-7",0.005564587,"Feces","48h","Yes"
"Agathobacter","CC-8",0.012868026,"Feces","48h","Yes"
"Agathobacter","CC-9",0.013379872,"Feces","48h","Yes"
"Agathobacter","CC-10",0.005791346,"Feces","60h","Yes"
"Agathobacter","CC-11",0.007918463,"Feces","60h","Yes"
"Agathobacter","CC-12",0.008314239,"Feces","60h","Yes"
"Agathobacter","CC-13",0.004770381,"Feces","recovery","Yes"
"Agathobacter","CC-14",0.009479006,"Feces","recovery","Yes"
"Agathobacter","CC-15",0.001997928,"Feces","recovery","Yes"
"Agathobacter","CC-16",0,"MLN","24h","Yes"
"Agathobacter","CC-17",0,"MLN","baseline","No"
"Agathobacter","CC-18",0,"Spleen","24h","Yes"
"Agathobacter","CC-19",0,"MLN","recovery","Yes"
"Agathobacter","CC-20",0,"Spleen","recovery","Yes"
"Anaerostipes","CC-1",0.000574012,"Feces","baseline","No"
"Anaerostipes","CC-2",0.001069695,"Feces","baseline","No"
"Anaerostipes","CC-3",0.00188503,"Feces","baseline","No"
"Anaerostipes","CC-4",0.001308901,"Feces","osmotic_diarrhea","Yes"
"Anaerostipes","CC-5",0.000522544,"Feces","osmotic_diarrhea","Yes"
"Anaerostipes","CC-6",0.000520055,"Feces","osmotic_diarrhea","Yes"
"Anaerostipes","CC-7",0.001312992,"Feces","48h","Yes"
"Anaerostipes","CC-8",0.002779494,"Feces","48h","Yes"
"Anaerostipes","CC-9",0.001357378,"Feces","48h","Yes"
"Anaerostipes","CC-10",0.001158269,"Feces","60h","Yes"
"Anaerostipes","CC-11",0.001646413,"Feces","60h","Yes"
"Anaerostipes","CC-12",0.001833061,"Feces","60h","Yes"
"Anaerostipes","CC-13",0.001139195,"Feces","recovery","Yes"
"Anaerostipes","CC-14",0.001193653,"Feces","recovery","Yes"
"Anaerostipes","CC-15",0.000887968,"Feces","recovery","Yes"
"Anaerostipes","CC-16",0.00196135,"MLN","24h","Yes"
"Anaerostipes","CC-17",0,"MLN","baseline","No"
"Anaerostipes","CC-18",0,"Spleen","24h","Yes"
"Anaerostipes","CC-19",0,"MLN","recovery","Yes"
"Anaerostipes","CC-20",0,"Spleen","recovery","Yes"
"Blautia","CC-1",0.1086317,"Feces","baseline","No"
"Blautia","CC-2",0.109355715,"Feces","baseline","No"
"Blautia","CC-3",0.19172255,"Feces","baseline","No"
"Blautia","CC-4",0.164173523,"Feces","osmotic_diarrhea","Yes"
"Blautia","CC-5",0.145789788,"Feces","osmotic_diarrhea","Yes"
"Blautia","CC-6",0.087954235,"Feces","osmotic_diarrhea","Yes"
"Blautia","CC-7",0.135238214,"Feces","48h","Yes"
"Blautia","CC-8",0.179534692,"Feces","48h","Yes"
"Blautia","CC-9",0.104582768,"Feces","48h","Yes"
"Blautia","CC-10",0.120956399,"Feces","60h","Yes"
"Blautia","CC-11",0.202665621,"Feces","60h","Yes"
"Blautia","CC-12",0.106841244,"Feces","60h","Yes"
"Blautia","CC-13",0.144321823,"Feces","recovery","Yes"
"Blautia","CC-14",0.159457941,"Feces","recovery","Yes"
"Blautia","CC-15",0.191357111,"Feces","recovery","Yes"
"Blautia","CC-16",0.073608307,"MLN","24h","Yes"
"Blautia","CC-17",0,"MLN","baseline","No"
"Blautia","CC-18",0.104508321,"Spleen","24h","Yes"
"Blautia","CC-19",0.002215705,"MLN","recovery","Yes"
"Blautia","CC-20",0.000270948,"Spleen","recovery","Yes"
"Catenibacillus","CC-1",0,"Feces","baseline","No"
"Catenibacillus","CC-2",0.001645684,"Feces","baseline","No"
"Catenibacillus","CC-3",0.001401261,"Feces","baseline","No"
"Catenibacillus","CC-4",0.002243829,"Feces","osmotic_diarrhea","Yes"
"Catenibacillus","CC-5",0.00179158,"Feces","osmotic_diarrhea","Yes"
"Catenibacillus","CC-6",0.002795294,"Feces","osmotic_diarrhea","Yes"
"Catenibacillus","CC-7",0.000625234,"Feces","48h","Yes"
"Catenibacillus","CC-8",0.001441219,"Feces","48h","Yes"
"Catenibacillus","CC-9",0.001034193,"Feces","48h","Yes"
"Catenibacillus","CC-10",0.000661868,"Feces","60h","Yes"
"Catenibacillus","CC-11",0.000784006,"Feces","60h","Yes"
"Catenibacillus","CC-12",0.000720131,"Feces","60h","Yes"
"Catenibacillus","CC-13",0,"Feces","recovery","Yes"
"Catenibacillus","CC-14",0.001193653,"Feces","recovery","Yes"
"Catenibacillus","CC-15",0.000739973,"Feces","recovery","Yes"
"Catenibacillus","CC-16",0.000692241,"MLN","24h","Yes"
"Catenibacillus","CC-17",0,"MLN","baseline","No"
"Catenibacillus","CC-18",0,"Spleen","24h","Yes"
"Catenibacillus","CC-19",0,"MLN","recovery","Yes"
"Catenibacillus","CC-20",0,"Spleen","recovery","Yes"
"Eisenbergiella","CC-1",0.01284351,"Feces","baseline","No"
"Eisenbergiella","CC-2",0.016127705,"Feces","baseline","No"
"Eisenbergiella","CC-3",0.001935075,"Feces","baseline","No"
"Eisenbergiella","CC-4",0.022687609,"Feces","osmotic_diarrhea","Yes"
"Eisenbergiella","CC-5",0.024111675,"Feces","osmotic_diarrhea","Yes"
"Eisenbergiella","CC-6",0.02314243,"Feces","osmotic_diarrhea","Yes"
"Eisenbergiella","CC-7",0.010941603,"Feces","48h","Yes"
"Eisenbergiella","CC-8",0.009470867,"Feces","48h","Yes"
"Eisenbergiella","CC-9",0.01473725,"Feces","48h","Yes"
"Eisenbergiella","CC-10",0.012906428,"Feces","60h","Yes"
"Eisenbergiella","CC-11",0.008545668,"Feces","60h","Yes"
"Eisenbergiella","CC-12",0.013617021,"Feces","60h","Yes"
"Eisenbergiella","CC-13",0.015307939,"Feces","recovery","Yes"
"Eisenbergiella","CC-14",0.002387305,"Feces","recovery","Yes"
"Eisenbergiella","CC-15",0.013541513,"Feces","recovery","Yes"
"Eisenbergiella","CC-16",0,"MLN","24h","Yes"
"Eisenbergiella","CC-17",0,"MLN","baseline","No"
"Eisenbergiella","CC-18",0,"Spleen","24h","Yes"
"Eisenbergiella","CC-19",0,"MLN","recovery","Yes"
"Eisenbergiella","CC-20",0,"Spleen","recovery","Yes"
"Fusicatenibacter","CC-1",0.018296621,"Feces","baseline","No"
"Fusicatenibacter","CC-2",0,"Feces","baseline","No"
"Fusicatenibacter","CC-3",0.009675375,"Feces","baseline","No"
"Fusicatenibacter","CC-4",0.020007479,"Feces","osmotic_diarrhea","Yes"
"Fusicatenibacter","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Fusicatenibacter","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Fusicatenibacter","CC-7",0.022883581,"Feces","48h","Yes"
"Fusicatenibacter","CC-8",0.028361128,"Feces","48h","Yes"
"Fusicatenibacter","CC-9",0.019843578,"Feces","48h","Yes"
"Fusicatenibacter","CC-10",0.019111442,"Feces","60h","Yes"
"Fusicatenibacter","CC-11",0.024852999,"Feces","60h","Yes"
"Fusicatenibacter","CC-12",0.017217676,"Feces","60h","Yes"
"Fusicatenibacter","CC-13",0.020149519,"Feces","recovery","Yes"
"Fusicatenibacter","CC-14",0.021836821,"Feces","recovery","Yes"
"Fusicatenibacter","CC-15",0.032040847,"Feces","recovery","Yes"
"Fusicatenibacter","CC-16",0,"MLN","24h","Yes"
"Fusicatenibacter","CC-17",0,"MLN","baseline","No"
"Fusicatenibacter","CC-18",0,"Spleen","24h","Yes"
"Fusicatenibacter","CC-19",0,"MLN","recovery","Yes"
"Fusicatenibacter","CC-20",0,"Spleen","recovery","Yes"
"GCA-900066575","CC-1",0.000430509,"Feces","baseline","No"
"GCA-900066575","CC-2",0.000987411,"Feces","baseline","No"
"GCA-900066575","CC-3",0.001117673,"Feces","baseline","No"
"GCA-900066575","CC-4",0.001682872,"Feces","osmotic_diarrhea","Yes"
"GCA-900066575","CC-5",0.001866229,"Feces","osmotic_diarrhea","Yes"
"GCA-900066575","CC-6",0.003315348,"Feces","osmotic_diarrhea","Yes"
"GCA-900066575","CC-7",0.001438039,"Feces","48h","Yes"
"GCA-900066575","CC-8",0.001801524,"Feces","48h","Yes"
"GCA-900066575","CC-9",0.002585483,"Feces","48h","Yes"
"GCA-900066575","CC-10",0.001489203,"Feces","60h","Yes"
"GCA-900066575","CC-11",0.002352019,"Feces","60h","Yes"
"GCA-900066575","CC-12",0.001374795,"Feces","60h","Yes"
"GCA-900066575","CC-13",0.001067996,"Feces","recovery","Yes"
"GCA-900066575","CC-14",0.001895801,"Feces","recovery","Yes"
"GCA-900066575","CC-15",0.000961965,"Feces","recovery","Yes"
"GCA-900066575","CC-16",0,"MLN","24h","Yes"
"GCA-900066575","CC-17",0,"MLN","baseline","No"
"GCA-900066575","CC-18",0,"Spleen","24h","Yes"
"GCA-900066575","CC-19",0,"MLN","recovery","Yes"
"GCA-900066575","CC-20",0,"Spleen","recovery","Yes"
"GCA-900066755","CC-1",0.00050226,"Feces","baseline","No"
"GCA-900066755","CC-2",0.000905126,"Feces","baseline","No"
"GCA-900066755","CC-3",0,"Feces","baseline","No"
"GCA-900066755","CC-4",0.000498629,"Feces","osmotic_diarrhea","Yes"
"GCA-900066755","CC-5",0.000373246,"Feces","osmotic_diarrhea","Yes"
"GCA-900066755","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"GCA-900066755","CC-7",0.000375141,"Feces","48h","Yes"
"GCA-900066755","CC-8",0.000463249,"Feces","48h","Yes"
"GCA-900066755","CC-9",0.000517097,"Feces","48h","Yes"
"GCA-900066755","CC-10",0,"Feces","60h","Yes"
"GCA-900066755","CC-11",0.000627205,"Feces","60h","Yes"
"GCA-900066755","CC-12",0.001374795,"Feces","60h","Yes"
"GCA-900066755","CC-13",0,"Feces","recovery","Yes"
"GCA-900066755","CC-14",0.000280859,"Feces","recovery","Yes"
"GCA-900066755","CC-15",0,"Feces","recovery","Yes"
"GCA-900066755","CC-16",0,"MLN","24h","Yes"
"GCA-900066755","CC-17",0,"MLN","baseline","No"
"GCA-900066755","CC-18",0,"Spleen","24h","Yes"
"GCA-900066755","CC-19",0,"MLN","recovery","Yes"
"GCA-900066755","CC-20",0,"Spleen","recovery","Yes"
"Hungatella","CC-1",0.003228815,"Feces","baseline","No"
"Hungatella","CC-2",0.01036781,"Feces","baseline","No"
"Hungatella","CC-3",0.00824075,"Feces","baseline","No"
"Hungatella","CC-4",0.008476689,"Feces","osmotic_diarrhea","Yes"
"Hungatella","CC-5",0.006793073,"Feces","osmotic_diarrhea","Yes"
"Hungatella","CC-6",0.004615485,"Feces","osmotic_diarrhea","Yes"
"Hungatella","CC-7",0.007940478,"Feces","48h","Yes"
"Hungatella","CC-8",0.008235536,"Feces","48h","Yes"
"Hungatella","CC-9",0.018356926,"Feces","48h","Yes"
"Hungatella","CC-10",0.006949615,"Feces","60h","Yes"
"Hungatella","CC-11",0.005880047,"Feces","60h","Yes"
"Hungatella","CC-12",0.017348609,"Feces","60h","Yes"
"Hungatella","CC-13",0.008330367,"Feces","recovery","Yes"
"Hungatella","CC-14",0.003159669,"Feces","recovery","Yes"
"Hungatella","CC-15",0.003995856,"Feces","recovery","Yes"
"Hungatella","CC-16",0.008595327,"MLN","24h","Yes"
"Hungatella","CC-17",0,"MLN","baseline","No"
"Hungatella","CC-18",0,"Spleen","24h","Yes"
"Hungatella","CC-19",0,"MLN","recovery","Yes"
"Hungatella","CC-20",0,"Spleen","recovery","Yes"
"Lachnoclostridium","CC-1",0.015498314,"Feces","baseline","No"
"Lachnoclostridium","CC-2",0.028881758,"Feces","baseline","No"
"Lachnoclostridium","CC-3",0.009458513,"Feces","baseline","No"
"Lachnoclostridium","CC-4",0.023186238,"Feces","osmotic_diarrhea","Yes"
"Lachnoclostridium","CC-5",0.025007465,"Feces","osmotic_diarrhea","Yes"
"Lachnoclostridium","CC-6",0.034973672,"Feces","osmotic_diarrhea","Yes"
"Lachnoclostridium","CC-7",0.015068151,"Feces","48h","Yes"
"Lachnoclostridium","CC-8",0.014669549,"Feces","48h","Yes"
"Lachnoclostridium","CC-9",0.01693491,"Feces","48h","Yes"
"Lachnoclostridium","CC-10",0.018284107,"Feces","60h","Yes"
"Lachnoclostridium","CC-11",0.010819287,"Feces","60h","Yes"
"Lachnoclostridium","CC-12",0.016563011,"Feces","60h","Yes"
"Lachnoclostridium","CC-13",0.021573514,"Feces","recovery","Yes"
"Lachnoclostridium","CC-14",0.018185648,"Feces","recovery","Yes"
"Lachnoclostridium","CC-15",0.025159094,"Feces","recovery","Yes"
"Lachnoclostridium","CC-16",0.069685607,"MLN","24h","Yes"
"Lachnoclostridium","CC-17",0,"MLN","baseline","No"
"Lachnoclostridium","CC-18",0,"Spleen","24h","Yes"
"Lachnoclostridium","CC-19",0,"MLN","recovery","Yes"
"Lachnoclostridium","CC-20",0,"Spleen","recovery","Yes"
"Lachnospiraceae","CC-1",0,"Feces","baseline","No"
"Lachnospiraceae","CC-2",0,"Feces","baseline","No"
"Lachnospiraceae","CC-3",0,"Feces","baseline","No"
"Lachnospiraceae","CC-4",0.000498629,"Feces","osmotic_diarrhea","Yes"
"Lachnospiraceae","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Lachnospiraceae","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Lachnospiraceae","CC-7",0.000437664,"Feces","48h","Yes"
"Lachnospiraceae","CC-8",0,"Feces","48h","Yes"
"Lachnospiraceae","CC-9",0,"Feces","48h","Yes"
"Lachnospiraceae","CC-10",0,"Feces","60h","Yes"
"Lachnospiraceae","CC-11",0,"Feces","60h","Yes"
"Lachnospiraceae","CC-12",0,"Feces","60h","Yes"
"Lachnospiraceae","CC-13",0,"Feces","recovery","Yes"
"Lachnospiraceae","CC-14",0,"Feces","recovery","Yes"
"Lachnospiraceae","CC-15",0,"Feces","recovery","Yes"
"Lachnospiraceae","CC-16",0,"MLN","24h","Yes"
"Lachnospiraceae","CC-17",0,"MLN","baseline","No"
"Lachnospiraceae","CC-18",0,"Spleen","24h","Yes"
"Lachnospiraceae","CC-19",0,"MLN","recovery","Yes"
"Lachnospiraceae","CC-20",0,"Spleen","recovery","Yes"
"Lachnospiraceae_NC2004_group","CC-1",0,"Feces","baseline","No"
"Lachnospiraceae_NC2004_group","CC-2",0,"Feces","baseline","No"
"Lachnospiraceae_NC2004_group","CC-3",0,"Feces","baseline","No"
"Lachnospiraceae_NC2004_group","CC-4",0.000124657,"Feces","osmotic_diarrhea","Yes"
"Lachnospiraceae_NC2004_group","CC-5",0,"Feces","osmotic_diarrhea","Yes"
"Lachnospiraceae_NC2004_group","CC-6",0,"Feces","osmotic_diarrhea","Yes"
"Lachnospiraceae_NC2004_group","CC-7",0,"Feces","48h","Yes"
"Lachnospiraceae_NC2004_group","CC-8",0,"Feces","48h","Yes"
"Lachnospiraceae_NC2004_group","CC-9",0,"Feces","48h","Yes"
"Lachnospiraceae_NC2004_group","CC-10",0,"Feces","60h","Yes"
"Lachnospiraceae_NC2004_group","CC-11",0,"Feces","60h","Yes"
"Lachnospiraceae_NC2004_group","CC-12",0,"Feces","60h","Yes"
"Lachnospiraceae_NC2004_group","CC-13",0,"Feces","recovery","Yes"
"Lachnospiraceae_NC2004_group","CC-14",0,"Feces","recovery","Yes"
"Lachnospiraceae_NC2004_group","CC-15",0,"Feces","recovery","Yes"
"Lachnospiraceae_NC2004_group","CC-16",0,"MLN","24h","Yes"
"Lachnospiraceae_NC2004_group","CC-17",0,"MLN","baseline","No"
"Lachnospiraceae_NC2004_group","CC-18",0,"Spleen","24h","Yes"
"Lachnospiraceae_NC2004_group","CC-19",0,"MLN","recovery","Yes"
"Lachnospiraceae_NC2004_group","CC-20",0,"Spleen","recovery","Yes"
"Lachnospiraceae_NK4A136_group","CC-1",0,"Feces","baseline","No"
"Lachnospiraceae_NK4A136_group","CC-2",0.003373653,"Feces","baseline","No"
"Lachnospiraceae_NK4A136_group","CC-3",0.048360191,"Feces","baseline","No"
"Lachnospiraceae_NK4A136_group","CC-4",0,"Feces","osmotic_diarrhea","Yes"
"Lachnospiraceae_NK4A136_group","CC-5",0.02105106,"Feces","osmotic_diarrhea","Yes"
"Lachnospiraceae_NK4A136_group","CC-6",0.004030423,"Feces","osmotic_diarrhea","Yes"
"Lachnospiraceae_NK4A136_group","CC-7",0,"Feces","48h","Yes"
"Lachnospiraceae_NK4A136_group","CC-8",0,"Feces","48h","Yes"
"Lachnospiraceae_NK4A136_group","CC-9",0,"Feces","48h","Yes"
"Lachnospiraceae_NK4A136_group","CC-10",0,"Feces","60h","Yes"
"Lachnospiraceae_NK4A136_group","CC-11",0,"Feces","60h","Yes"
"Lachnospiraceae_NK4A136_group","CC-12",0,"Feces","60h","Yes"
